НПФ;ID;Дата;Собственный капитал (тыс.тенге);Обязательства (тыс.тенге);;;;;;;;;
?лар ?міт;2;01.04.2011;5803998;494083;;;;;;;;;
АМАНАТ КАЗАХСТАН;11;01.04.2011;1311440;247740;;;;;;;;;
Атамекен;6;01.04.2011;2503959;435895;;;;;;;;;
ГНПФ;16;01.04.2011;18873566;673140;;;;;;;;;
БТА Казахстан;12;01.04.2011;6972138;3496833;;;;;;;;;
Накопительный пенсионный фонд Народного Банка Казахстана;3;01.04.2011;28897978;3549279;;;;;;;;;
Накопительный пенсионный Фонд Казахмыс;9;01.04.2011;1492083;53011;;;;;;;;;
Нефтегаз - ДЕМ;4;01.04.2011;1855292;100953;;;;;;;;;
Евразийский накопительный пенсионный фонд;5;01.04.2011;3400051;53777;;;;;;;;;
ГРАНТУМ;1;01.04.2011;5962853;290443;;;;;;;;;
Отан;14;01.04.2011;2284401;403991;;;;;;;;;
Капитал;10;01.04.2011;3477817;37999;;;;;;;;;
РЕСПУБЛИКА;8;01.04.2011;1006588;60416;;;;;;;;;
