Наименование НПФ;ID;Дата;Значение стоимости условной единицы пенсионных активов;Всего пенсионных накоплений;;
?лар?міт ;2;01.01.2011;466.83508;317448849;;
АМАНАТ КАЗАХСТАН ;11;01.01.2011;435.81476;50654662;;
Атамекен;6;01.01.2011;545.40137;67793386;;
ГНПФ;16;01.01.2011;426.39305;375556612;;
Накопительный пенсионный фонд БТА Казахстан;12;01.01.2011;588.44918;177680535;;
Накопительный пенсионный фонд Народного Банка Казахстана;3;01.01.2011;523.09572;712207905;;
Казахмыс;9;01.01.2011;468.63705;24679483;;
НефтеГаз - Дем;4;01.01.2011;492.82167;77593075;;
Евразийский накопительный пенсионный фонд;5;01.01.2011;260.32999;73298937;;
ГРАНТУМ;1;01.01.2011;340.26614;150037826;;
Отан;14;01.01.2011;192.98393;62462838;;
Капитал;10;01.01.2011;192.86110;110610908;;
РЕСПУБЛИКА;8;01.01.2011;135.92486;58173817;;
